béo gày
cao thấp
cứng mềm
dài ngắn
dày mỏng
lớn bé
nặng nhẹ
nông sâu
rộng hẹp
thẳng cong
to nhỏ
tròn méo
sáng tối
sớm muộn
sớm khuya
trắng đen
trong đục
xa gần
bở sượng
chín sống
chín xanh
khô ướt
mặn nhạt
mới cũ
nóng lạnh
tươi héo
thơm thối
dễ khó
đẹp xấu
giàu nghèo
giỏi dốt
khoẻ yếu
khôn dại
mạnh yếu
no đói
sang hèn
sướng khổ
tốt xấu
trẻ già
vui buồn
yêu ghét
căng chùng
chắc lép
chẵn lẻ
chặt lỏng
đặc loãng
dày thưa
đầy vơi
kín hở
lồi lõm
phải trái
thật giả
đúng sai
xuôi ngược
thuận nghịch
công tư
chính phụ
chung riêng
đực cái
dương âm
nam nữ
trai gái
trống mái
đầu cuối
dọc ngang
động tĩnh
trên dưới
trong ngoài
trước sau
xưa nay
cẩn_thận cẩu_thả
đắng_cay ngọt_bùi
đau_khổ hạnh_phúc
dễ_chịu khó_chịu
khiêm_tốn kiêu_ngạo
lịch_sự thô_lỗ
khổng_lồ tí_hon
an_toàn nguy_hiểm
công_khai bí_mật
đơn_giản phức_tạp
liên_tục đứt_quãng
lạc_quan bi_quan
chủ_động bị_động
chủ_quan khách_quan
lạc_hậu tiến_bộ
tích_cực tiêu_cực
tối_đa tối_thiểu
trực_tiếp gián_tiếp
trừu_tượng cụ_thể
tuyệt_đối tương_đối
bình_thường bất_bình_thường
hợp_pháp bất_hợp_pháp
hợp_lí bất_hợp_lí
bình_thường bất_thường
bình_thường đặc_biệt
bình_thường khác_thường
hợp_lí vô_lí
hữu_ích vô_ích
công_bằng bất_công
chính_nghĩa phi_nghĩa
ấm_cúng lạnh_lẽo
bình_tĩnh vội_vàng
chăm_chỉ lười_biếng
cứng_rắn mềm_mỏng
gần_gũi xa_cách
giàu_sang nghèo_hèn
im_lặng ồn_ào
tài_giỏi ngu_dốt
tốt_đẹp xấu_xa
khoẻ_mạnh yếu_đuối
khôn_khéo vụng_về
mạnh_mẽ yếu_đuối
cao_lớn nhỏ_bé
cao_to bé_nhỏ
đắt_đỏ rẻ_mạt
dày_đặc thưa_thớt
đông_đúc vắng_vẻ
rộng_rãi chật_chội
to_lớn nhỏ_bé
yên_tĩnh ồn_ào
dễ_dàng khó_khăn
nhanh_chóng chậm_trễ
thông_suốt tắc_nghẽn
thuận_lợi khó_khăn
tiên_tiến lạc_hậu
béo_núc gày_đét
cao_vút thấp_tịt
dài_ngoằng ngắn_cũn
dài_thượt ngẵn_cũn
dày_cộp mỏng_tang
già_câng trẻ_măng
mới_tinh cũ_rích
nặng_trịch nhẹ_tênh
nông_choẹt sâu_hoắm
sáng_choang tối_om
thơm_lừng thối_hoắc
to_đùng bé_tí
trắng_ởn đen_sì
trong_vắt đục_ngầu
vui_ngất buồn_thiu
to bé
vui vuồn
ấm mát
âm_ấm man_mát
bận rỗi
bận_bịu rảnh_rỗi
béo_tốt gày_còm
chăm lười
đậm nhạt
đậm_đà nhạt_nhẽo
đắt rẻ
đắt_đỏ rẻ_rúng
đẹp_đẽ xấu_xa
già non
già_giặn non_nớt
mặt nhạt
mặn_mà nhạt_nhẽo
mới_mẻ cũ_kĩ
nặng_nề nhẹ_nhàng
nhanh chậm
nhanh_nhẹn chậm_chạp
nóng_bức giá_lạnh
nóng_nực lạnh_lẽo
nóng rét
nóng_nực mát_mẻ
nông_cạn sâu_sắc
sạch bẩn
sạch_sẽ bẩn_thỉu
sớm tối
sớm_sủa tối_tăm
thơm_tho hôi_thối
tỉnh say
tỉnh_táo say_sưa
trong_sáng đen_tối
tươi_tắn héo_hon
vui_vẻ buồn_bã
ác_cảm thiện_cảm
buồn_bã rạng_rỡ
buồn_bã tươi_vui
buồn_bã vui_mừng
buồn_bã vui_nhộn
buồn_bã vui_thích
buồn_tẻ vui_nhộn
buồn_tẻ vui_vẻ
căm_ghét thương_yêu
căm_ghét yêu_mến
căm_ghét yêu_thương
căm_giận thương_yêu
căm_giận yêu_mến
căm_giận yêu_thương
căm_thù thương_yêu
căm_thù yêu_thương
cảm_tính lý_tính
cạn_dốc đầy_phè
cân_đối méo_mó
cân_đối vẹo_vọ
cân_đối xiêu_vẹo
cần_mẫn biếng_nhác
cần_mẫn lười_biếng
cần_mẫn lười_nhác
cẩn_thận bất_cẩn
cẩn_thận bôi_bác
cẩn_trọng cẩu_thả
cao_thượng đê_hèn
cao_thượng đê_mạt
cao_thượng đê_tiện
gian_dối thực_thà
gian_dối trung_thực
giản_đơn phức_tạp
gian_giảo chân_thực
giàu_có nghèo_khổ
giàu_có nghèo_nàn
giàu_có nghèo_túng
giàu_có thiếu_thốn
giàu_sang nghèo_khó
giàu_sang nghèo_khổ
giàu_sang nghèo_túng
hợp_lí phi_lí
hợp_pháp phi_pháp
ác_độc hiền_lành
ác_độc hiền_từ
an_tâm lo_lắng
bất_hiếu có_hiếu
bất_lợi thuận_lợi
buồn_phiền vui_vẻ
cao_quý thấp_hèn
chân_thành giả_dối
chật rộng
chật_hẹp rộng_rãi
cũ_kỹ mới_mẻ
cũ_kỹ mới_tinh
dày_cồm_cộp mỏng_tanh
đen_đủi may_mắn
đen_sì trắng_tinh
đen_tối minh_bạch
đơn đôi
đơn kép
đơn_giản rắc_rối
đúng_đắn lệch_lạc
đúng_đắn méo_mó
đúng_đắn sai_lầm
đúng_đắn sai_trái
đuối tươi
được mất
được thua
gọn_gàng bừa_bộn
gọn_ghẽ bừa_bộn
gọn_nhẹ rườm_rà
gồ_ghề bằng_phẳng
hà_tiện hoang_phí
