ăn xơi
bọc gói
cắt xắt
cáu gắt
chắn ngăn
chết mất
chia tách
cho biếu
chờ đợi
chọn lựa
chứa đựng
chữa sửa
đau nhức
đến tới
đẽo gọt
đưa tiễn
đụng chạm
giảm bớt
mang vác
mừng vui
ngã té
sinh đẻ
tăng thêm
tập luyện
thắng được
thua bại
thưa vắng
thúc giục
tiêu chi_tiêu
trêu ghẹo
trộm cắp
trông coi
trốn tránh
yêu thích
áp_dụng vận_dụng
bắt_đầu khởi_đầu
bế_mạc kết_thúc
bênh_vực bảo_vệ
bênh_vực che_chở
bồi_thường đền_bù
chấp_hành thi_hành
chỉ_huy điều_khiển
chú_ý chú_trọng
chuẩn_bị sửa_soạn
cố_gắng nỗ_lực
cố_tình cố_ý
công_khai minh_bạch
diễn_đạt biểu_đạt
diễn_tả miêu_tả
dính_dáng liên_quan
đối_phó ứng_phó
đồng_tình đồng_ý
đồng_ý tán_thành
giả_mạo giả_dạng
giả_mạo giả_danh
giái_thích lí_giải
giống_nhau tương_tự
hoàn_thành kết_thúc
kết_thúc chấm_dứt
khai_mạc mở_màn
khám_phá phát_hiện
khen_ngợi biểu_dương
khinh_bỉ miệt_thị
khuyến_khích động_viên
kính_trọng tôn_trọng
làm_dáng làm_đỏm
làm_dáng làm_duyên
làm_việc lao_động
lãnh_đạo chỉ_đạo
lệ_thuộc phụ_thuộc
mở_màn mở_đầu
ngạc_nhiên kinh_ngạc
phô_trương khoa_trương
tố_cáo vạch_trần
tự_tử tự_sát
tuyên_dương biểu_dương
ăn_trộm ăn_cắp
ăn_trộm ăn_cướp
bác_bỏ phủ_định
bàn_bạc thảo_luận
bày_tỏ trình_bày
buôn_bán kinh_doanh
ca_ngợi ngợi_ca
chăm_sóc chăm_lo
chăm_sóc trông_nom
chê_bai chê_cười
che_đắp che_đậy
chế_giễu nhạo_báng
chôn_cất mai_táng
chọn_lựa chọn_lọc
cưỡng_bức bắt_buộc
đam_mê say_mê
dẫn_dắt dìu_dắt
dành_dụm tiết_kiệm
đe_doạ doạ_nạt
đè_nén ức_hiếp
đòi_hỏi yêu_cầu
đổi_thay biến_hoá
đụng_chạm va_chạm
đương_đầu chống_cự
e_thẹn xấu_hổ
gắn_bó ràng_buộc
giải_thích giảng_giải
giữ_gìn bảo_vệ
giúp_đỡ tương_trợ
khoe_khoang khoác__lác
lẩn_trốn trốn_tránh
lo_lắng lo_ngại
lo_lắng lo_sợ
mong_muốn khao_khát
mong_ước khao_khát
nịnh_hót nịnh_nọt
nổi_tiếng có_tiếng
nối_tiếp kế_tiếp
rèn_luyện luyện_tập
suy_nghĩ tư_duy
tắm_giặt tắm_gội
tập_trung tụ_họp
thân_thiện thân_mật
than_thở phàn_nàn
thảo_luận trao_đổi
thay_đổi đổi_thay
thi_đua ganh_đua
thương_lượng đàm_phán
thương_lượng dàn_xếp
tìm_kiếm tìm_tòi
tổn_thất tổn_hại
trêu_chọc châm_chọc
trêu_chòng trêu_ghẹo
trình_bày thuyết_trình
trừng_phạt trừng_trị
tu_sửa sửa_chữa
ức_hiếp ăn_hiếp
va_chạm va_vấp
xâm_chiếm thôn_tính
xâm_chiếm xâm_lược
yêu_thương yêu_mến
bán buôn_bán
bỏ từ_bỏ
cầm cầm_nắm
chết qua_đời
chết từ_trần
chiếm chiếm_đoạt
chôn chôn_cất
chống chống_cự
chọn lựa_chọn
chửa có_mang
chửa có_thai
cố cố_gắng
cười cười_đùa
dặn dặn_dò
đánh đánh_đập
đào đào_bới
doạ đe_doạ
doạ doạ_nạt
đợi chờ_đợi
đổi thay_đổi
đón đón_tiếp
đưa đưa_tiễn
dùng sử_dụng
đuổi xua_đuổi
gật gật_gù
ghét ghét_bỏ
giết tiêu_diệt
hết cạn_kiệt
khen khen_ngợi
khoe khoe_khoang
mong mong_muốn
nghỉ nghỉ_ngơi
nghĩ suy_nghĩ
nhận thu_nhận
nhường nhường_nhịn
nịnh nịnh_hót
phạt trừng_phạt
quen quen_thuộc
quét quét_dọn
rửa rửa_ráy
sợ hoảng_sợ
sợ sợ_hãi
sửa sửa_chữa
thích yêu_thích
thua thất_bại
tìm tìm_kiếm
trách trách_móc
trêu trêu_ghẹo
trộm ăn_trộm
vay vay_mượn
yêu yêu_thương
ăn_cắp đánh_cắp
ăn_cắp trộm_cắp
báo_thù phục_thù
báo_thù trả_thù
cưỡng_dâm hãm_hiếp
cưỡng_dâm hiếp_dâm
cứu_giúp cứu_trợ
cứu_tế cứu_giúp
diệt_trùng khử_trùng
đủng_đỉnh thủng_thẳng
gian_dâm thông_dâm
nhờ_cậy nhờ_vả
